event_message,event_type,function_id,id,level,timestamp
"Processing follow-up question { sessionId: ""dea3e92d-4433-495c-84b4-9db0eb2a644d"" }
",Log,3122e38f-8b5a-44b3-a721-4038855f378f,d3c43a6b-cd04-4f21-ae48-eea8e992bf00,log,1749609814285460
"Request parsed: {
  hasMessages: true,
  messageCount: 5,
  hasData: true,
  sessionId: ""dea3e92d-4433-495c-84b4-9db0eb2a644d"",
  isNewAnalysis: false
}
",Log,3122e38f-8b5a-44b3-a721-4038855f378f,18f0f39d-ad19-40e5-a389-a42fae7139f9,log,1749609814285177
"Request received: {
  method: ""POST"",
  url: ""http://awuibcrmituuaailkrdl.supabase.co/chat"",
  headers: {
    accept: ""*/*"",
    ""accept-encoding"": ""gzip"",
    ""accept-language"": ""en-US,en;q=0.9"",
    apikey: ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6ImF3dWliY3JtaXR1dWFhaWxrcmRsIiwicm9sZSI6ImFub24iLCJpYXQiOjE3NDkzNDczODUsImV4cCI6MjA2NDkyMzM4NX0.g3shL0as1Mr-NlGiHxAKldo9Lr8MZN5SXGeKYYauP8I"",
    authorization: ""Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJzdXBhYmFzZSIsInJlZiI6ImF3dWliY3JtaXR1dWFhaWxrcmRsIiwicm9sZSI6ImFub24iLCJpYXQiOjE3NDkzNDczODUsImV4cCI6MjA2NDkyMzM4NX0.g3shL0as1Mr-NlGiHxAKldo9Lr8MZN5SXGeKYYauP8I"",
    ""cdn-loop"": ""cloudflare; loops=1; subreqs=1"",
    ""cf-connecting-ip"": ""68.23.70.141"",
    ""cf-ew-via"": ""15"",
    ""cf-ray"": ""94ddc2dd56ce1359-ATL"",
    ""cf-visitor"": '{""scheme"":""https""}',
    ""cf-worker"": ""supabase.co"",
    ""content-length"": ""8693"",
    ""content-type"": ""application/json"",
    host: ""edge-runtime.supabase.com"",
    origin: ""http://localhost:8080"",
    priority: ""u=1, i"",
    referer: ""http://localhost:8080/"",
    ""sec-ch-ua"": '""Google Chrome"";v=""137"", ""Chromium"";v=""137"", ""Not/A)Brand"";v=""24""',
    ""sec-ch-ua-mobile"": ""?0"",
    ""sec-ch-ua-platform"": '""macOS""',
    ""sec-fetch-dest"": ""empty"",
    ""sec-fetch-mode"": ""cors"",
    ""sec-fetch-site"": ""cross-site"",
    ""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"",
    ""x-amzn-trace-id"": ""Root=1-6848ed51-76498c553eb616bf4a9048aa"",
    ""x-client-info"": ""supabase-js-web/2.50.0"",
    ""x-forwarded-for"": ""68.23.70.141,68.23.70.141, 3.2.52.17"",
    ""x-forwarded-port"": ""443"",
    ""x-forwarded-proto"": ""https""
  }
}
",Log,3122e38f-8b5a-44b3-a721-4038855f378f,bda623a7-b629-45c0-afb4-7d1304480890,log,1749609814284888
"Listening on http://localhost:9999/
",Log,3122e38f-8b5a-44b3-a721-4038855f378f,2103cf2b-2590-4945-a5db-8340e6b0ffaf,log,1749609814284185
booted (time: 21ms),Boot,3122e38f-8b5a-44b3-a721-4038855f378f,555eae45-da77-4c2a-99e8-b6ee117c14c5,log,1749609814284009
shutdown,Shutdown,3122e38f-8b5a-44b3-a721-4038855f378f,8ae36a92-7c1c-4cbf-9e8e-55766b7e36f8,log,1749609796154827
shutdown,Shutdown,3122e38f-8b5a-44b3-a721-4038855f378f,eba2dd93-8f25-49b1-9a22-f46d3fa37749,log,1749609794456202
shutdown,Shutdown,3122e38f-8b5a-44b3-a721-4038855f378f,e563b728-98d3-465c-8870-958fc20c0b11,log,1749609793113400
shutdown,Shutdown,3122e38f-8b5a-44b3-a721-4038855f378f,03b56f2d-89a7-402d-a176-3058e9666686,log,1749609788548784
shutdown,Shutdown,3122e38f-8b5a-44b3-a721-4038855f378f,23c1617b-2912-43bc-87d0-21cb05e88d85,log,1749609734454994
"Error in chat function: SyntaxError: Unexpected end of JSON input
    at parse (<anonymous>)
    at packageData (ext:deno_fetch/22_body.js:381:14)
    at consumeBody (ext:deno_fetch/22_body.js:247:12)
    at Request.json (ext:deno_fetch/22_body.js:320:16)
    at Server.<anonymous> (file:///tmp/user_fn_awuibcrmituuaailkrdl_3122e38f-8b5a-44b3-a721-4038855f378f_5/source/index.ts:80:68)
    at #respond (https://deno.land/std@0.177.0/http/server.ts:220:37)
    at #serveHttp (https://deno.land/std@0.177.0/http/server.ts:258:20)
    at eventLoopTick (ext:core/01_core.js:168:7)
",Log,3122e38f-8b5a-44b3-a721-4038855f378f,ba4da577-ef7a-4503-ac10-9e8908b32a2c,error,1749609643174116
"Request received: {
  method: ""GET"",
  url: ""http://awuibcrmituuaailkrdl.supabase.co/chat"",
  headers: {
    accept: ""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"",
    ""accept-encoding"": ""gzip"",
    ""accept-language"": ""en-US,en;q=0.9"",
    ""cdn-loop"": ""cloudflare; loops=1; subreqs=1"",
    ""cf-connecting-ip"": ""68.23.70.141"",
    ""cf-ew-via"": ""15"",
    ""cf-ray"": ""94ddbeb0464eafa8-ATL"",
    ""cf-visitor"": '{""scheme"":""https""}',
    ""cf-worker"": ""supabase.co"",
    host: ""edge-runtime.supabase.com"",
    priority: ""u=0, i"",
    ""sec-ch-ua"": '""Google Chrome"";v=""137"", ""Chromium"";v=""137"", ""Not/A)Brand"";v=""24""',
    ""sec-ch-ua-mobile"": ""?0"",
    ""sec-ch-ua-platform"": '""macOS""',
    ""sec-fetch-dest"": ""document"",
    ""sec-fetch-mode"": ""navigate"",
    ""sec-fetch-site"": ""none"",
    ""sec-fetch-user"": ""?1"",
    ""upgrade-insecure-requests"": ""1"",
    ""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"",
    ""x-amzn-trace-id"": ""Root=1-6848eca6-34de2cb46f146901313df23b"",
    ""x-forwarded-for"": ""68.23.70.141,68.23.70.141, 99.83.101.76"",
    ""x-forwarded-port"": ""443"",
    ""x-forwarded-proto"": ""https""
  }
}
",Log,3122e38f-8b5a-44b3-a721-4038855f378f,c5189ee0-d405-4e1d-9975-4f90cabd7c90,log,1749609643173903
"Listening on http://localhost:9999/
",Log,3122e38f-8b5a-44b3-a721-4038855f378f,a212d376-e0ec-4755-be9c-2d218399895a,log,1749609643173622
booted (time: 20ms),Boot,3122e38f-8b5a-44b3-a721-4038855f378f,febb678c-a99a-48ef-a399-94629823e1c1,log,1749609643173399
shutdown,Shutdown,3122e38f-8b5a-44b3-a721-4038855f378f,a9d7eabf-8b68-45f9-a134-560f00312cb6,log,1749609613642764
